order_id,customer_id,created_date,order_amount,shop_id,order_status,orders_on_customer_id_7D,customer_id_has_paid,shop_id_count_paid_orders_90D
ea44f92ee05880ccb9d1eac565c781c6,124e7b421093cb5ae18df8256ea591ca,2020-01-01,1839.2,4716486e2f5489e28a43354320c656a4,paid,0,False,0
6ea88eb8ff98a78e07611a4e955a7d46,ba108833b7381247b6d20fea0501b8dc,2020-04-03,2302.25,4716486e2f5489e28a43354320c656a4,paid,0,False,0
342e47f90a085011c3afa94475dc61bd,6536928d8ecbd7d731f5fc2aa22573a9,2020-04-12,1120.06,4716486e2f5489e28a43354320c656a4,paid,0,False,1
9566725f601cc9d26943b55aaaf1e5b0,8dd13ca4b535b996a775b66f274b0c1f,2020-05-04,565.0,556e232c4549000a0bdd7e9d23860a86,paid,0,False,0
27309cda8bf3a5a17cc7d1781ff998bb,8463b19013300bff71bfa8101773ad3d,2020-06-29,2467.0,24758fef3aa92a7b71c759e248557886,paid,0,False,0
01f2ffb184219ce7c841a3ca79dcc5c5,19cbf5d2881e9834660afd5682529f79,2020-07-10,177.0,2cc1274196a2b541084deca57fc379c3,paid,0,False,0
2826b9153b84683ff7ca614c0105678d,cfaae6358cedd5ddc2edb05b8b7895c0,2020-07-20,2724.5,24758fef3aa92a7b71c759e248557886,paid,0,False,1
bb09c77b84867110365335f45fee609d,34eff794b20af1df0a81af65212bf5a7,2020-07-20,2003.0,24758fef3aa92a7b71c759e248557886,paid,0,False,1
bc85385710c00cc1922b593b04316492,815bb1ed9f63a2e4b5dade97951df0d7,2020-07-22,199.8,2cc1274196a2b541084deca57fc379c3,paid,0,False,1
b6a102f2a18b1c0cf2666cad0f0f619a,cf557b027b1531b3cb14a2ee1dbfea95,2020-08-14,497.0,82f8e64b14cb4f2b3371a98924596cf6,paid,0,False,0
3c87afa8afcec064301937ff94a8cd0a,ec91f4cbd1dbd81fe104383271b3feac,2020-08-22,6077.0,24758fef3aa92a7b71c759e248557886,paid,0,False,3
e5917b4c2f7a39ad821518c2ba5b9a97,3a0e26992a16071315cf98db7f240861,2020-08-23,115.8,2cc1274196a2b541084deca57fc379c3,paid,0,False,2
9b3dc6c4b144ffc0559f7fcaddce4f57,6712fc6df7e97d26a79b7e83ab8c8a11,2020-09-11,401.75,14a206b5298dbfa9454e85293881a249,paid,0,False,0
108995ecad8ffe93ce425b156f7dc458,32629e63fda685166247e41a66ce8b0b,2020-09-13,611.75,14a206b5298dbfa9454e85293881a249,paid,0,False,1
bcf388ee0cd58533b3de5d644fdcf708,4687227bec5bd0cb41885bc6a91d3f69,2020-09-21,611.75,14a206b5298dbfa9454e85293881a249,paid,0,False,2
e1a5444d0c3b0defdd399d975f562296,50d71ac9d6c3ce7b81fdfda778f7f1d9,2020-09-22,7967.0,24758fef3aa92a7b71c759e248557886,paid,0,False,4
8de516365e41ef03c3349132320e4e94,9b01c000cc30a72a252832401fe959fa,2020-09-23,501.5,14a206b5298dbfa9454e85293881a249,paid,0,False,3
7abc16342d2e540186ede4dad687ff48,9f34365e0d83d33344a9b9b13f2ae6f1,2020-09-23,432.0,35eb5c38857a7856259fb567bbc057db,paid,0,False,0
4ee9c30ccc7b14225b6d45bb06dd6680,cfafd96da137646c8f98e34509290779,2020-09-25,506.75,14a206b5298dbfa9454e85293881a249,paid,0,False,4
cf4aa983f21a4a0bcaf256134128495f,5d869f20535384cf5c8c13ecce57bb58,2020-09-25,611.75,14a206b5298dbfa9454e85293881a249,paid,0,False,4
fbfde5bbb5ffb3c118d1ed6c6b205b37,9501b16ce3072e210954435d98902397,2020-09-25,396.5,14a206b5298dbfa9454e85293881a249,paid,0,False,4
9dfd70769bff2377ff80bd94d71d370e,e599dd9fc5cef92fac7bbb709af6aa94,2020-09-27,506.75,14a206b5298dbfa9454e85293881a249,paid,0,False,7
9b3f2efd2206c45d495c36a9cadd33c2,de1414636ef990eb366c9b6bf3022db1,2020-10-03,501.5,14a206b5298dbfa9454e85293881a249,paid,0,False,8
4b6afba44b45a405760cca74161ceb61,6e5fa4ca4c0de3b1132f21c08a7cc4e8,2020-10-04,6387.0,24758fef3aa92a7b71c759e248557886,paid,0,False,4
932580a6a6e7f6a60a11e82afe716b90,0383a68798ec6062e0ac2aacbb22a157,2020-10-09,611.75,14a206b5298dbfa9454e85293881a249,paid,0,False,9
8cb74e5279e43318db0d1129a3361773,50c00ffbf75c4388bd34005087497b59,2020-10-13,611.75,14a206b5298dbfa9454e85293881a249,paid,0,False,10
